Source,Weight,Target,Type
offshore_wind,537,ROV,Undirected
offshore_wind_farm,273,ROV,Undirected
offshore_wind_farms,160,ROV,Undirected
offshore_wind_industry,107,ROV,Undirected
oil,126,ROV,Undirected
operation,497,ROV,Undirected
operator,167,ROV,Undirected
opportunity,333,ROV,Undirected
order,169,ROV,Undirected
partner,145,ROV,Undirected
partnership,95,ROV,Undirected
performance,297,ROV,Undirected
personnel,159,ROV,Undirected
phase,102,ROV,Undirected
plan,109,ROV,Undirected
planning,110,ROV,Undirected
platform,232,ROV,Undirected
port,118,ROV,Undirected
potential,150,ROV,Undirected
power,434,ROV,Undirected
process,189,ROV,Undirected
product,188,ROV,Undirected
production,102,ROV,Undirected
programme,116,ROV,Undirected
project,1566,ROV,Undirected
provider,299,ROV,Undirected
province,100,ROV,Undirected
provision,211,ROV,Undirected
quality,136,ROV,Undirected
range,165,ROV,Undirected
region,100,ROV,Undirected
reliability,168,ROV,Undirected
renewable_energy,240,ROV,Undirected
report,186,ROV,Undirected
requirement,147,ROV,Undirected
research,245,ROV,Undirected
resource,113,ROV,Undirected
result,137,ROV,Undirected
risk,160,ROV,Undirected
rov,127,ROV,Undirected
ROV,234,ROV,Undirected
safety,215,ROV,Undirected
sea,128,ROV,Undirected
sector,218,ROV,Undirected
service,920,ROV,Undirected
Siemens,140,ROV,Undirected
site,342,ROV,Undirected
skill,129,ROV,Undirected
software,100,ROV,Undirected
solution,547,ROV,Undirected
standard,106,ROV,Undirected
state,100,ROV,Undirected
structure,114,ROV,Undirected
study,119,ROV,Undirected
subsea,151,ROV,Undirected
supplier,92,ROV,Undirected
supply,175,ROV,Undirected
supply_chain,105,ROV,Undirected
support,461,ROV,Undirected
survey,221,ROV,Undirected
system,772,ROV,Undirected
team,217,ROV,Undirected
technician,112,ROV,Undirected
technology,843,ROV,Undirected
test,135,ROV,Undirected
testing,183,ROV,Undirected
time,267,ROV,Undirected
tool,142,ROV,Undirected
training,299,ROV,Undirected
turbine,438,ROV,Undirected
UK,413,ROV,Undirected
understanding,95,ROV,Undirected
use,142,ROV,Undirected
vessel,757,ROV,Undirected
water,98,ROV,Undirected
wave,136,ROV,Undirected
way,144,ROV,Undirected
wind,341,ROV,Undirected
Wind,98,ROV,Undirected
wind_energy,117,ROV,Undirected
wind_farm,457,ROV,Undirected
wind_turbine,369,ROV,Undirected
work,360,ROV,Undirected
world,142,ROV,Undirected
year,391,ROV,Undirected
’,130,system,Undirected
ABB,120,system,Undirected
access,138,system,Undirected
addition,111,system,Undirected
application,137,system,Undirected
area,137,system,Undirected
business,99,system,Undirected
cable,589,system,Undirected
capability,104,system,Undirected
capacity,131,system,Undirected
communication,95,system,Undirected
company,453,system,Undirected
component,213,system,Undirected
concept,91,system,Undirected
condition,132,system,Undirected
connection,137,system,Undirected
construction,155,system,Undirected
contract,148,system,Undirected
control,179,system,Undirected
control_system,205,system,Undirected
cost,225,system,Undirected
crane,116,system,Undirected
datum,212,system,Undirected
deployment,112,system,Undirected
design,424,system,Undirected
development,359,system,Undirected
device,122,system,Undirected
efficiency,105,system,Undirected
electricity,169,system,Undirected
energy,463,system,Undirected
Energy,118,system,Undirected
engineering,140,system,Undirected
equipment,159,system,Undirected
Europe,91,system,Undirected
experience,97,system,Undirected
facility,120,system,Undirected
foundation,117,system,Undirected
generation,96,system,Undirected
generator,117,system,Undirected
grid,198,system,Undirected
HVDC,113,system,Undirected
industry,242,system,Undirected
installation,394,system,Undirected
integration,104,system,Undirected
m,105,system,Undirected
maintenance,179,system,Undirected
management,160,system,Undirected
Marine,108,system,Undirected
market,250,system,Undirected
measurement,93,system,Undirected
monitoring,111,system,Undirected
need,123,system,Undirected
network,95,system,Undirected
offshore_wind,211,system,Undirected
offshore_wind_farm,139,system,Undirected
offshore_wind_farms,93,system,Undirected
oil,95,system,Undirected
operation,263,system,Undirected
operator,98,system,Undirected
order,118,system,Undirected
performance,170,system,Undirected
pitch,91,system,Undirected
platform,208,system,Undirected
power,553,system,Undirected
process,103,system,Undirected
product,140,system,Undirected
production,117,system,Undirected
project,761,system,Undirected
range,110,system,Undirected
reliability,118,system,Undirected
renewable_energy,126,system,Undirected
requirement,132,system,Undirected
research,116,system,Undirected
safety,135,system,Undirected
sea,96,system,Undirected
sensor,105,system,Undirected
service,212,system,Undirected
Siemens,104,system,Undirected
site,167,system,Undirected
solution,261,system,Undirected
structure,98,system,Undirected
subsea,121,system,Undirected
substation,104,system,Undirected
supply,176,system,Undirected
support,122,system,Undirected
system,5473,system,Undirected
System,275,system,Undirected
Systems,289,system,Undirected
team,93,system,Undirected
technology,444,system,Undirected
test,141,system,Undirected
testing,154,system,Undirected
time,221,system,Undirected
transmission_system,111,system,Undirected
turbine,368,system,Undirected
UK,166,system,Undirected
use,137,system,Undirected
vessel,571,system,Undirected
water,122,system,Undirected
wave,133,system,Undirected
wind,182,system,Undirected
wind_farm,254,system,Undirected
wind_turbine,331,system,Undirected
work,184,system,Undirected
world,98,system,Undirected
year,229,system,Undirected
’,214,turbine,Undirected
access,144,turbine,Undirected
activity,93,turbine,Undirected
addition,121,turbine,Undirected
agreement,110,turbine,Undirected
analysis,121,turbine,Undirected
application,138,turbine,Undirected
area,290,turbine,Undirected
array,110,turbine,Undirected
assembly,96,turbine,Undirected
base,98,turbine,Undirected
blade,399,turbine,Undirected
cable,282,turbine,Undirected
capacity,438,turbine,Undirected
certification,91,turbine,Undirected
China,121,turbine,Undirected
coast,297,turbine,Undirected
commissioning,112,turbine,Undirected
company,642,turbine,Undirected
component,335,turbine,Undirected
concept,139,turbine,Undirected
condition,221,turbine,Undirected
construction,400,turbine,Undirected
contract,226,turbine,Undirected
control,127,turbine,Undirected
cost,449,turbine,Undirected
crane,92,turbine,Undirected
datum,198,turbine,Undirected
day,112,turbine,Undirected
demand,103,turbine,Undirected
Denmark,149,turbine,Undirected
deployment,119,turbine,Undirected
design,670,turbine,Undirected
developer,221,turbine,Undirected
development,482,turbine,Undirected
device,96,turbine,Undirected
DONG_Energy,130,turbine,Undirected
efficiency,112,turbine,Undirected
electricity,243,turbine,Undirected
end,239,turbine,Undirected
energy,372,turbine,Undirected
Energy,142,turbine,Undirected
engineering,141,turbine,Undirected
environment,101,turbine,Undirected
equipment,163,turbine,Undirected
Europe,111,turbine,Undirected
experience,123,turbine,Undirected
facility,239,turbine,Undirected
foundation,721,turbine,Undirected
Gamesa,104,turbine,Undirected
gearbox,149,turbine,Undirected
generation,215,turbine,Undirected
generator,222,turbine,Undirected
Germany,122,turbine,Undirected
grid,209,turbine,Undirected
Group,95,turbine,Undirected
height,122,turbine,Undirected
impact,95,turbine,Undirected
industry,391,turbine,Undirected
inspection,111,turbine,Undirected
installation,1035,turbine,Undirected
installation_vessel,116,turbine,Undirected
installed_capacity,112,turbine,Undirected
investment,135,turbine,Undirected
island,91,turbine,Undirected
kilometre,111,turbine,Undirected
km,220,turbine,Undirected
load,162,turbine,Undirected
location,161,turbine,Undirected
m,191,turbine,Undirected
maintenance,405,turbine,Undirected
manufacturer,161,turbine,Undirected
manufacturing,114,turbine,Undirected
market,484,turbine,Undirected
measurement,99,turbine,Undirected
megawatt,126,turbine,Undirected
metre,126,turbine,Undirected
MHI_Vestas,104,turbine,Undirected
model,173,turbine,Undirected
month,157,turbine,Undirected
MW,380,turbine,Undirected
nacelle,156,turbine,Undirected
need,122,turbine,Undirected
North_Sea,94,turbine,Undirected
number,195,turbine,Undirected
Offshore,111,turbine,Undirected
offshore_substation,152,turbine,Undirected
offshore_wind,386,turbine,Undirected
offshore_wind_farm,579,turbine,Undirected
offshore_wind_farms,133,turbine,Undirected
offshore_wind_turbine,370,turbine,Undirected
offshore_wind_turbines,678,turbine,Undirected
OM,106,turbine,Undirected
operation,417,turbine,Undirected
operator,132,turbine,Undirected
opportunity,99,turbine,Undirected
order,182,turbine,Undirected
output,105,turbine,Undirected
owner,95,turbine,Undirected
partner,127,turbine,Undirected
performance,201,turbine,Undirected
phase,156,turbine,Undirected
place,114,turbine,Undirected
platform,360,turbine,Undirected
port,166,turbine,Undirected
Port,117,turbine,Undirected
position,95,turbine,Undirected
potential,100,turbine,Undirected
power,566,turbine,Undirected
process,134,turbine,Undirected
product,102,turbine,Undirected
production,215,turbine,Undirected
project,1359,turbine,Undirected
prototype,196,turbine,Undirected
range,113,turbine,Undirected
reliability,143,turbine,Undirected
renewable_energy,94,turbine,Undirected
report,153,turbine,Undirected
requirement,101,turbine,Undirected
research,199,turbine,Undirected
result,99,turbine,Undirected
risk,101,turbine,Undirected
rotor,139,turbine,Undirected
rotor_blade,96,turbine,Undirected
safety,138,turbine,Undirected
sea,203,turbine,Undirected
seabed,113,turbine,Undirected
Senvion,97,turbine,Undirected
September,100,turbine,Undirected
service,329,turbine,Undirected
shore,116,turbine,Undirected
Siemens,462,turbine,Undirected
site,603,turbine,Undirected
size,177,turbine,Undirected
solution,228,turbine,Undirected
standard,91,turbine,Undirected
structure,228,turbine,Undirected
study,107,turbine,Undirected
substation,171,turbine,Undirected
summer,100,turbine,Undirected
supplier,115,turbine,Undirected
supply,129,turbine,Undirected
support,141,turbine,Undirected
system,669,turbine,Undirected
team,144,turbine,Undirected
technician,224,turbine,Undirected
technology,611,turbine,Undirected
test,252,turbine,Undirected
testing,271,turbine,Undirected
tidal_turbine,187,turbine,Undirected
time,313,turbine,Undirected
tool,97,turbine,Undirected
total,127,turbine,Undirected
tower,303,turbine,Undirected
training,96,turbine,Undirected
turbine,5246,turbine,Undirected
Turbine,93,turbine,Undirected
turbine_manufacturer,103,turbine,Undirected
type,162,turbine,Undirected
UK,304,turbine,Undirected
unit,136,turbine,Undirected
use,123,turbine,Undirected
vessel,641,turbine,Undirected
Vestas,136,turbine,Undirected
water,183,turbine,Undirected
water_depth,101,turbine,Undirected
wave,116,turbine,Undirected
way,93,turbine,Undirected
wind,458,turbine,Undirected
Wind,97,turbine,Undirected
wind_energy,130,turbine,Undirected
wind_farm,1146,turbine,Undirected
wind_power,130,turbine,Undirected
wind_turbine,3905,turbine,Undirected
Wind_Turbine,133,turbine,Undirected
work,306,turbine,Undirected
world,237,turbine,Undirected
year,516,turbine,Undirected
