"freq","class","sub_class","name","tooltip","alias","ignore"
90,"COM","Engineering","JFMS","James Fisher Marine Services","James Fisher Marine Services|\bJFMS\b",FALSE
89,"COM","NEW","GL Garrad Hassan","GL Garrad Hassan Ltd.","GL Garrad Hassan",FALSE
88,"COM","Services","DCNS","Green Investment Bank UK","Naval Group|\bDCNS\b",FALSE
88,"COM","NEW","LR","Lloyd's Register","Lloyd's Register( \(LR\))?|\bLR\b",FALSE
87,"COM","NEW","AMSC","American Superconductor","American Superconductor|\bAMSC\b",FALSE
86,"COM","NEW","ABP","Associated British Ports","Associated British Ports?|\bABP\b",FALSE
84,"COM","NEW","EEW-SPC","EEW Special Pipe Constructions","EEW( SPC| Special Pipe Constructions)?",FALSE
83,"COM","NEW","NSW","Norddeutsche Seekabelwerke GmbH","Norddeutsche Seekabelwerke GmbH|\bNSW\b",FALSE
83,"COM","Engineering","DBB","DBB Jack-Up Services","DBB Jack-Up Services|\bDBB\b",FALSE
81,"COM","NEW","KPS","Kite Power Systems","Kite Power Systems|\bKPS\b",FALSE
79,"COM","NEW","Balfour Beatty","Balfour Beatty Investments Ltd","Balfour Beatty( Investments)?( Ltd)?",FALSE
79,"COM","NEW","Barge Master","Barge Master","Barge Master",FALSE
78,"COM","Others","Aquamarine Power","Aquamarine Power","Aquamarine Power",FALSE
78,"COM","NEW","Swire Blue Ocean","Swire Blue Ocean","Swire Blue Ocean",FALSE
77,"COM","Vessel","Tidal Transit","Tidal Transit","Tidal Transit",FALSE
75,"COM","Engineering","SHI","Samsung Heavy Industries","Samsung Heavy Industries|\bSHI\b",FALSE
74,"COM","NEW","AXYS","AXYS Technologies Inc.","AXYS Technologies Inc\.|\bAXYS\b",FALSE
74,"COM","NEW","MAKE","MAKE Consulting","\bMAKE( Consulting)?",FALSE
74,"COM","Others","Prysmian Group","Prysmian Group","Prysmian Group",FALSE
73,"COM","NEW","VSMC","Visser & Smit Marine Contracting","Visser & Smit Marine Contracting|\bVSMC\b",FALSE
72,"COM","Equipment","Lockheed Martin","Lockheed Martin","Lockheed Martin",FALSE
72,"COM","Turbine","Hitachi","Hitachi","Hitachi",FALSE
72,"COM","NEW","STX","STX Group","\bSTX( [A-Z][a-z]+){0,2}",FALSE
68,"COM","NEW","ABS","ABS Consulting","\bABS( Consulting)?",FALSE
68,"COM","NEW","SGS","SGS Renewable Energy","\bSGS( Renewable Energy)?",FALSE
68,"COM","Others","Siemens Energy","Siemens Energy","Siemens Energy Management Division|Siemens Energy Sector|Siemens Energy",FALSE
68,"COM","NEW","MPI Offshore","MPI Offshore","MPI Offshore",FALSE
66,"COM","NEW","SAL","SAL Heavy Lift","SAL( Heavy Lift| Offshore)|\bSAL\b",FALSE
65,"COM","NEW","EDS","EDS HV Group","\bEDS( HV( Group)?)?",FALSE
64,"COM","NEW","ESS","Energy Skills Scotland","Energy Skills Scotland|\bESS\b",FALSE
63,"COM","NEW","KIC","KIC InnoEnergy","\bKIC( InnoEnergy)?",FALSE
63,"COM","Turbine","Deutsche Windtechnik","Deutsche Windtechnik Ltd","Deutsche Windtechnik",FALSE
63,"COM","Engineering","SMST","SMST Designers & Constructors BV","\bSMST\b",FALSE
62,"COM","Foundation","Universal Foundation","Universal Foundation A/S","Universal Foundation",FALSE
62,"COM","NEW","ULSTEIN","ULSTEIN GROUP","ULSTEIN( GROUP)?",FALSE
62,"COM","NEW","CG","CG Holdings Belgium","\bCG( [A-Z][a-z]+){0,2}\b",FALSE
62,"COM","NEW","OSBIT","OSBIT Power Limited","OSBIT( Power)?( Limited)?|\bOP\b",FALSE
62,"COM","NEW","MMT","MMT AB Sweden","\bMMT\b",FALSE
61,"COM","Developer","Mainstream Renewable Power","Mainstream Renewable Power","Mainstream Renewable Power",FALSE
60,"COM","Equipment","EOLOS","EOLOS Solutions","EOLOS",FALSE
59,"COM","NEW","APEM","APEM Co. UK","\bAPEM\b",FALSE
58,"COM","NEW","GICON","GICON Group","German GICON Group|Floating Offshore Foundation|GICON( (S|F)OF)?",FALSE
57,"COM","NEW","LOC","London Offshore Consultants","London Offshore Consultants|\bLOC( Renewables| Group)?\b",FALSE
57,"COM","Developer","US Wind","US Wind","US Wind",FALSE
57,"COM","NEW","HR Wallingford","HR Wallingford","HR Wallingford('s)?",FALSE
56,"COM","Equipment","IT Power","IT Power Consulting Ltd.","IT Power( Consulting)?( Ltd\.)?|\bITP\b",FALSE
56,"COM","Equipment","MCT","Marine Current Turbines Ltd.","Marine Current Turbines( Ltd\.?)?|\bMCT\b",FALSE
54,"COM","Others","Mitsubishi Corporation","Mitsubishi Corporation","Mitsubishi Corporation",FALSE
51,"COM","NEW","HSM","HSM( Offshore","\bHSM( Offshore)?",FALSE
49,"COM","Equipment","Safety Technology","Safety Technology","Safety Technology",FALSE
48,"COM","Equipment","AMC","Aluminium Marine Consultants","Aluminium Marine Consultants|\bAMC\b",FALSE
47,"COM","NEW","IBERDROLA","IBERDROLA Group","(Fundaci\S+ )?IBERDROLA (RENOVABLES|Group|INGENI\S+)?",FALSE
47,"COM","NEW","IOW","South Boats IOW Ltd","\b(South Boats )?IOW(:| Ltd:)?",FALSE
46,"COM","NEW","CS","CS Offshore","CS (O|o)ffshore|\bCS\b",FALSE
46,"COM","NEW","HIE","Highlands and Islands Enterprise","Highlands and Islands Enterprise( \(HIE\))?|\bHIE\b",FALSE
45,"COM","NEW","HOCHTIEF","HOCHTIEF Construction","HOCHTIEF( Construction)?",FALSE
45,"COM","Engineering","Bibby Marine Services","Bibby Marine Services","Bibby Marine Services",FALSE
45,"COM","NEW","ALE","ALE Wind Services","ALE('s)?",FALSE
43,"COM","Others","SeaRoc Group","SeaRoc Group","SeaRoc Group",FALSE
42,"COM","NEW","SMD","Soil Machine Dynamics","Soil Machine Dynamics( Ltd)?|\bSMD\b",FALSE
42,"COM","NEW","AW-Energy","AW-Energy","\bAW-Energy\b",FALSE
42,"COM","PowerCo","Red Rock Power Ltd.","Red Rock Power Ltd.","Red Rock Power Ltd.",FALSE
42,"COM","NEW","GRS","Global Renewables Shipbrokers","Global Renewables Shipbroker(s)?|\bGRS\b",FALSE
41,"COM","NEW","ORPC","Ocean Renewable Power Company","Ocean Renewable Power Company|\bORPC\b",FALSE
41,"COM","Developer","Nordsee One","Nordsee One","Nordsee One",FALSE
41,"COM","NEW","SMC","Specialist Marine Consultants","Specialist Marine Consultants|(Scaldis)? SMC('s)?",FALSE
41,"COM","NEW","ESB","Electricity Supply Board","Electricity Supply Board|\bESB\b",FALSE
40,"COM","NEW","BLG","BLG WindEnergy Logistics","BLG WindEnergy( Logistics)?|\bBLG\b",FALSE
40,"COM","NEW","LORC","Lindo Offshore Renewables Center","Lindoe Offshore Renewables Center|\bLORC\b",FALSE
39,"COM","Services","3sun Group","3sun Group","3sun Group",FALSE
38,"COM","NEW","GEV","GEV Wind Power","GEV Wind Power('s)?|\bGEV\b",FALSE
38,"COM","NEW","LDA","Louis Dreyfus Armateurs","Louis Dreyfus ARMATEURS( Group)?( \(LDA\))?|\bLDA\b",TRUE
36,"COM","NEW","NRG","Renewable NRG Systems","Renewable NRG( Systems)|\bNRG\b",FALSE
34,"COM","Engineering","Iceni Marine Services","Iceni Marine Services","Iceni Marine Services",FALSE
33,"COM","Consultant","BVG Associates","BVG Associates","BVG Associates",FALSE
33,"COM","NEW","KCI","KCI","KCI",FALSE
33,"COM","NEW","XEMC","Xiangtan Electric Manufacturing Corporation","Xiangdian Wind Energy( \(XEMC\))?|Xiangtan Electric Manufacturing Corporation( Ltd)? |\bXEMC\b",FALSE
32,"COM","Equipment","Hydro Group","Hydro Group","Hydro Group",FALSE
32,"COM","Training","Deutsche WindGuard","Deutsche WindGuard","Deutsche WindGuard",FALSE
32,"COM","NEW","COSCO Nantong Shipyard","COSCO Nantong Shipyard","COSCO( \(?Nan(t|T)ong\)?)?( (S|s)hipyard)?( \(COSCO\))?|\bCOSCO\b""",FALSE
32,"COM","NEW","REBO","Renewable Energy Base Oostende","Renewable Energy Base Oostende( \(REBO\))?|\bREBO\b",FALSE
31,"COM","NEW","PKA","Denmark's pension fund PKA","(Denmark's)?( (p|P)ension)?( (F|f)und)? PKA|PKA( P|p)ension|\bPKA\b",FALSE
30,"COM","NEW","SDIC","SDIC Power of China","SDIC (P|p)ower (o|O)f (C|c)hina|\bSDIC\b",FALSE
30,"COM","NEW","MT Hojgaard","MT Hojgaard","MT Hojgaard|MT Hojgaard|\bMT\b",FALSE
28,"COM","PowerCo","Northland Power Inc.","Northland Power Inc.","Northland Power Inc.",FALSE
28,"COM","NEW","Fugro EMU","Fugro EMU","Fugro EMU|\bEMU\b",FALSE
26,"COM","Others","Blue Water Shipping","Blue Water Shipping","Blue Water Shipping",FALSE
26,"COM","Services","TAG Energy Solutions","TAG Energy Solutions","TAG Energy Solutions",FALSE
26,"COM","NEW","BOW Terminal","BOW Terminal","BOW Terminal('s)?",FALSE
25,"COM","NEW","MMS","MMS Offshore Renewable Services Ltd","MMS Offshore|\bMMS\b",FALSE
24,"COM","Engineering","Reef","Reef Subsea Power & Umbilical","Reef Subsea Power & Umbilical",FALSE
24,"COM","Engineering","Mitsubishi","Mitsubishi Heavy Industries","Mitsubishi Heavy Industries",FALSE
24,"COM","NEW","BAM","BAM Nuttall","BAM Nuttall|\bBAM\b",FALSE
22,"COM","Blade","Blade Dynamics","Blade Dynamics","Blade Dynamics",FALSE
22,"COM","NEW","Nordsee One GmbH","Nordsee One GmbH","Nordsee One GmbH",FALSE
21,"COM","Others","DTU Wind Energy","DTU Wind Energy","DTU Wind Energy",FALSE
20,"COM","Consultant","NOF Energy","NOF Energy","NOF Energy",FALSE
17,"COM","Engineering","A&P Group","A&P Group","A&P Group",FALSE
11,"COM","NEW","Falcon Global","Falcon Global","Falcon Global( LLC)?",FALSE
5557,"COUNTRY",NA,"UK","UK","\b(UK|GB)\b|Britain|British|United Kingdom|Great Britain|England",FALSE
3357,"COUNTRY",NA,"Germany","Germany","Germany|German|Deutsch",FALSE
2715,"COUNTRY",NA,"USA","USA","United States|U\.S\.|US\.|US|America|American|\bUSA\b",FALSE
2026,"COUNTRY",NA,"Scotland","Scotland","Scotland|Scottish( (G|g)vernment)?",FALSE
1683,"COUNTRY",NA,"Denmark","Denmark","Denmark|Danish",FALSE
1639,"COUNTRY",NA,"Netherlands","Netherlands","Netherlands|Dutch|Holland",FALSE
1610,"COUNTRY",NA,"European","European","European",FALSE
1160,"COUNTRY",NA,"China","China","China|Chinese",FALSE
831,"COUNTRY",NA,"France","France","France|French",FALSE
751,"COUNTRY",NA,"Norway","Norway","Norway|Norwegian",FALSE
633,"COUNTRY",NA,"Ireland","Ireland","Ireland|Irish",FALSE
603,"COUNTRY",NA,"Taiwan","Taiwan","Taiwan|Taiwanese",FALSE
567,"COUNTRY",NA,"EU","EU","European Union|\bEU\b",FALSE
522,"COUNTRY",NA,"Japan","Japan","Japan|Japanese",FALSE
417,"COUNTRY",NA,"Wales","Wales","Wales|Welsh",FALSE
367,"COUNTRY",NA,"Belgium","Belgium","Belgium",FALSE
313,"COUNTRY",NA,"Canada","Canada","Canada|Canadian",FALSE
305,"COUNTRY",NA,"Spain","Spain","Spain|Spanish",FALSE
297,"COUNTRY",NA,"Sweden","Sweden","Sweden|Swedish",FALSE
289,"COUNTRY",NA,"India","India","India",FALSE
211,"COUNTRY",NA,"Australia","Australia","Australia|Australian",FALSE
497,"FARM",NA,"Hornsea Project One","Hornsea Windfarm","Hornsea( Project One)?",FALSE
413,"FARM",NA,"Walney Extension","Walney Extension Windfarm","Walney( Extension)?",FALSE
392,"FARM",NA,"Norther","Norther Windfarm","Norther",FALSE
376,"FARM",NA,"Beatrice","Beatrice Windfarm (BOWL)","Beatrice( Offshore)? Wind ?(F|f)arm( L(td|imited))?|Beatrice|\bBOWL\b",FALSE
331,"FARM",NA,"Borssele","Borssele Windfarm","Borssele",FALSE
309,"FARM",NA,"Dudgeon","Dudgeon Windfarm","Dudgeon",FALSE
298,"FARM",NA,"Kriegers Flak","Kriegers Flak Windfarm","Kriegers Flak|\bKFE\b|\bKFB\b",FALSE
276,"FARM",NA,"Borkum Riffgrund","Borkum Riffgrund Windfarm","Borkum Riffgrund",FALSE
257,"FARM",NA,"London Array","London Array Windfarm","London Array",FALSE
256,"FARM",NA,"Block Island","Block Island Windfarm","Block Island",FALSE
247,"FARM",NA,"Race Bank","Race Bank Windfarm","Race Bank",FALSE
222,"FARM",NA,"Gwynt y Mor","Gwynt y Mor Windfarm","Gwynt y M.r",FALSE
216,"FARM",NA,"Horns Rev","Horns Rev Windfarm","Horns Rev",FALSE
208,"FARM",NA,"Merkur","Merkur Windfarm","Merkur",FALSE
196,"FARM",NA,"Triton Knoll","Triton Knoll Windfarm","Triton Knoll",FALSE
188,"FARM",NA,"Rampion","Rampion Windfarm","Rampion",FALSE
186,"FARM",NA,"Gemini","Gemini Windfarm","Gemini",FALSE
177,"FARM",NA,"Burbo Bank Extension","Burbo Bank Extension Windfarm","Burbo Bank Extension",FALSE
176,"FARM",NA,"East Anglia ONE","East Anglia ONE Windfarm","East Anglia ONE",FALSE
175,"FARM",NA,"Wikinger","Wikinger Windfarm","Wikinger",FALSE
170,"FARM",NA,"Dogger Bank","Dogger Bank Windfarm","Dogger Bank",FALSE
169,"FARM",NA,"Greater Gabbard","Greater Gabbard Windfarm","Greater Gabbard",FALSE
167,"FARM",NA,"Sheringham Shoal","Sheringham Shoal Windfarm","Sheringham( Shoal)?",FALSE
156,"FARM",NA,"Westermost Rough","Westermost Rough Windfarm","Westermost Rough",FALSE
152,"FARM",NA,"Irish Sea","Irish Sea Windfarm","Irish Sea",FALSE
148,"FARM",NA,"Sandbank","Sandbank Windfarm","Sandbank",FALSE
143,"FARM",NA,"Anholt","Anholt Windfarm","Anholt",FALSE
143,"FARM",NA,"Gode Wind","Gode Wind Windfarm","Gode Wind",FALSE
142,"FARM",NA,"Hollandse Kust","Hollandse Kust Windfarm","Hollandse Kust( \((N|n)oord\))?( \((Z|z)uid\))?",FALSE
137,"FARM",NA,"Arkona","Arkona Windfarm","Arkona",FALSE
135,"FARM",NA,"Rentel","Rentel Windfarm","Rentel",FALSE
133,"FARM",NA,"Veja Mate","Veja Mate Windfarm","Veja Mate",FALSE
123,"FARM",NA,"Global Tech","Global Tech Windfarm","Global Tech",FALSE
121,"FARM",NA,"DanTysk","DanTysk Windfarm","DanTysk",FALSE
113,"FARM",NA,"Hohe See","Hohe See Windfarm","Hohe See",FALSE
108,"FARM",NA,"BARD","BARD Windfarm","BARD( (O|o)ffshore 1)|\bBARD\b",FALSE
104,"FARM",NA,"Alpha Ventus","FARM","(A|a)lpha (V|v)entus",FALSE
100,"FARM",NA,"Butendiek","Butendiek Windfarm","Butendiek",FALSE
99,"FARM",NA,"Humber Gateway","Humber Gateway Windfarm","Humber Gateway",FALSE
92,"FARM",NA,"Deutsche Bucht","Deutsche Bucht Windfarm","Deutsche Bucht",FALSE
90,"FARM",NA,"Duddon Sands","Duddon Sands Windfarm","Duddon Sands",FALSE
85,"FARM",NA,"Lincs","Lincs Windfarm","Lincs",FALSE
72,"FARM",NA,"Ormonde","Ormonde Windfarm","Ormonde",FALSE
66,"FARM",NA,"Neart Na Gaoithe","Neart Na Gaoithe Windfarm","Neart (N|n)a Gaoithe",FALSE
44,"FARM",NA,"Nissum Bredning","Nissum Bredning Windfarm","Nissum Bredning",FALSE
32,"FARM",NA,"SEM-REV","SEM-REV experimental test site","SEM-REV( experimental)?( test)?( site)?( \(WTIV\))?|\bSEM\b",FALSE
30,"FARM",NA,"ICOL","Inch Cape Offshore Limited","Inch Cape Offshore Limited( \(ICOL\))?|\bICOL\b",FALSE
12,"FARM",NA,"Galloper","Galloper Windfarm","Galloper Offshore Wind Farm",FALSE
410,"GOV",NA,"DOE","Department of Energy","Department of Energy|\bD(O|o)E\b",FALSE
398,"GOV",NA,"BOEM","Bureau of Ocean Energy Management","Bureau of Ocean Energy Management(, Regulation and Enforcement)?|\bBOEM(RE)?\b",FALSE
343,"GOV",NA,"EIA","Environmental( Impact Assessment","(E|e)nvironmental( (I|i)mpact)? (A|a)ssessments?|\bE(I)?A\b",FALSE
207,"GOV",NA,"EC","European Commission","European Commission|\bEC\b",FALSE
130,"GOV",NA,"DECC","Department of Energy and Climate Change","Department of Energy and Climate Change|\bDECC\b",FALSE
116,"GOV",NA,"HSE","Health Safety and Environment","Health,? Safety,?( and)? Environment,?(al)?|\bHSEQ?\b",TRUE
99,"GOV",NA,"MOEA","Ministry of Economic Affairs","(M|m)inistr(y|ies) (for|of) (E|e)conomic (A|a)ffairs|\bMOEA\b",FALSE
89,"GOV",NA,"BoP","Balance of Plant","(B|b)alance of (P|p)lant|\bBoP\b",FALSE
86,"GOV",NA,"DEA","Danish Energy Agency","Danish Energy Agency|\bDEA\b",FALSE
76,"GOV",NA,"Marine Scotland","Marine Scotland","Marine Scotland",FALSE
72,"GOV",NA,"EEZ","Exclusive Economic Zone","Exclusive Economic Zone|\bEEZ\b",FALSE
67,"GOV",NA,"BSH","Maritime and Hydrographic Agency German","(Federal )?Maritime and Hydrographic Agency|\bBSH\b",FALSE
63,"GOV",NA,"MMO","Marine Management Organisation","Marine Management Organi(s|z)ation|\bMMO\b",FALSE
55,"GOV",NA,"Planning Inspectorate","Planning Inspectorate UK","Planning Inspectorate",FALSE
54,"GOV",NA,"STEM","Science Technology Engineering and Maths","Science, Technology, Engineering and Maths|STEM( Ambassadors?| Centre)?",FALSE
53,"GOV",NA,"MCA","Maine Composites Alliance","Maine Composites Alliance|\bMCA\b",FALSE
53,"GOV",NA,"BPU","Board of Public Utilities","Board of Public Utilities|\bBPU\b",FALSE
49,"GOV",NA,"ERDF","European Regional Development Fund","European Regional Development Fund|\bERDF\b",FALSE
44,"GOV",NA,"NOAA","National Oceanic and Atmospheric Administration","National (Oceanic|Oceanographic) and Atmospheric Administration|\bNOAA\b",FALSE
40,"GOV",NA,"BNetzA","Federal Network Agency","Federal Network Agency|\bBNetzA\b",FALSE
40,"GOV",NA,"BEIS","Dept. Business Energy and Industrial Strategy","(Department of |Secretary of State for )Business, Energy and Industrial Strategy|\bBEIS\b",TRUE
38,"GOV",NA,"DCO","Development Consent Order","(D|d)evelopment (C|c)onsent (O|o)rder|\bDCO\b",FALSE
36,"GOV",NA,"ADEME","French Environment and Energy Management Agency","Fr(ench|ance's) Environment and Energy Management Agency|\bADEME\b",FALSE
36,"GOV",NA,"EMR","Electricity Market Reform","(Energy|Electricity) Market Reform|\bEMR\b",TRUE
35,"GOV",NA,"SEAI","Sustainable Energy Authority of Ireland","Sustainable Energy Authority of Ireland( \(SEAI\))?|\bSEAI\b",FALSE
29,"GOV",NA,"PWEP","Perth Wave Energy Project","Perth Wave Energy Project|\bPWEP\b",FALSE
28,"GOV",NA,"BMWi","Ministry of Economics Affairs and Energy","Federal Ministry (of|for) Economics?( Affairs)?( and Energy)?|\bBMWi\b",FALSE
27,"GOV",NA,"FEED","Front End Engineering Design","(F|f)ront (E|e)nd (E|e)ngineering (D|d)esign|\bFEED\b",FALSE
21,"GOV",NA,"National Energy Agreement","National Energy Agreement","National Energy Agreement",FALSE
13526,"KWORD",NA,"turbine","turbine","(T|t)urbine",FALSE
7048,"KWORD",NA,"system","system","(S|s)ystem",FALSE
6890,"KWORD",NA,"cable","cable","(C|c)able",FALSE
6194,"KWORD",NA,"installation","installation","(I|i)nstallation",FALSE
6135,"KWORD",NA,"technology","technology","(T|t)echnolog(y|ies)",FALSE
3847,"KWORD",NA,"grid","grid","(G|g)rid",FALSE
3689,"KWORD",NA,"foundation","foundation","(F|f)oundation",FALSE
1756,"KWORD",NA,"blade","blade","(B|b)lade",FALSE
1673,"KWORD",NA,"testing","testing","(T|t)esting",FALSE
1592,"KWORD",NA,"survey","survey","(S|s)urvey",FALSE
1465,"KWORD",NA,"training","training","(T|t)raining",FALSE
1226,"KWORD",NA,"O&M","O&M","O&M|(O|o)perations? (and|&) (M|m)aintenance",FALSE
1147,"KWORD",NA,"monitor","monitor","(M|m)onitor",FALSE
1049,"KWORD",NA,"jacket","jacket","(J|j)acket",FALSE
1042,"KWORD",NA,"monopile","monopile","monopile|Monopile|mono pile|Mono pile",FALSE
993,"KWORD",NA,"seabed","seabed","(S|s)ea( )?bed",FALSE
823,"KWORD",NA,"maritime","maritime","(M|m)aritime",FALSE
712,"KWORD",NA,"protection","protection","(P|p)rotection",FALSE
683,"KWORD",NA,"inspection","inspection","(I|i)nspection",FALSE
430,"KWORD",NA,"underwater","underwater","(U|u)nder( )?water",FALSE
402,"KWORD",NA,"ROV/AUV","remotely operated vehicle","((R|r)emotely (O|o)perated|(A|a)utonomous (U|u)nderwater) (V|v)ehicle|\b(ROV|AUV)\b",FALSE
129,"KWORD",NA,"corrosion","corrosion","(C|c)orrosion",FALSE
115,"KWORD",NA,"drone","drone","(D|d)rone",FALSE
100,"KWORD",NA,"sonar","sonar","(S|s)onar",FALSE
1702,"LOC",NA,"North Sea","North Sea","North Sea",FALSE
574,"LOC",NA,"Baltic","Baltic Seas","Baltic( Seas?)?",FALSE
339,"LOC",NA,"East Anglia","East Anglia","East Anglia",TRUE
237,"LOC",NA,"New Jersey","New Jersey","New Jersey",FALSE
226,"LOC",NA,"Rhode Island","Rhode Island","Rhode Island",FALSE
205,"LOC",NA,"North America","North America","North America",FALSE
160,"LOC",NA,"Nova Scotia","Nova Scotia","Nova Scotia",FALSE
122,"LOC",NA,"Island of Borkum","Island of Borkum","Island of Borkum",TRUE
98,"LOC",NA,"Isle of Wight","Isle of Wight","Isle of Wight",TRUE
91,"LOC",NA,"Port of Esbjerg","Port of Esbjerg","Port of Esbjerg",FALSE
73,"LOC",NA,"Asia Pacific","Asia Pacific","Asia Pacific",TRUE
30,"LOC",NA,"North Norfolk","North Norfolk cosat","North Norfolk( coast)",FALSE
728,"ORG",NA,"ORE","Offshore Renewable Energy","Offshore Renewable Energy|\bORE\b",TRUE
357,"ORG",NA,"ORE Catapult","Offshore Renewable Energy Catapult","(Offshore Renewable Energy|ORE) Catapult",FALSE
260,"ORG",NA,"NAREC","National Renewable Energy Centre","National Renewable Energy Centre|\bNAREC\b",TRUE
