"freq","class","sub_class","name","tooltip","alias","ignore"
175,"FARM",NA,"Wikinger","Wikinger Windfarm (FARM)","Wikinger",FALSE
170,"FARM",NA,"Dogger Bank","Dogger Bank Windfarm (FARM)","Dogger Bank",FALSE
169,"FARM",NA,"Greater Gabbard","Greater Gabbard Windfarm (FARM)","Greater Gabbard",FALSE
167,"FARM",NA,"Sheringham Shoal","Sheringham Shoal Windfarm (FARM)","Sheringham( Shoal)?",FALSE
156,"FARM",NA,"Westermost Rough","Westermost Rough Windfarm (FARM)","Westermost Rough",FALSE
152,"FARM",NA,"Irish Sea","Irish Sea Windfarm (FARM)","Irish Sea",FALSE
148,"FARM",NA,"Sandbank","Sandbank Windfarm (FARM)","Sandbank",FALSE
143,"FARM",NA,"Anholt","Anholt Windfarm (FARM)","Anholt",FALSE
143,"FARM",NA,"Gode Wind","Gode Wind Windfarm (FARM)","Gode Wind",FALSE
142,"FARM",NA,"Hollandse Kust","Hollandse Kust Windfarm (FARM)","Hollandse Kust( \((N|n)oord\))?( \((Z|z)uid\))?",FALSE
137,"FARM",NA,"Arkona","Arkona Windfarm (FARM)","Arkona",FALSE
135,"FARM",NA,"Rentel","Rentel Windfarm (FARM)","Rentel",FALSE
133,"FARM",NA,"Veja Mate","Veja Mate Windfarm (FARM)","Veja Mate",FALSE
123,"FARM",NA,"Global Tech","Global Tech Windfarm (FARM)","Global Tech",FALSE
121,"FARM",NA,"DanTysk","DanTysk Windfarm (FARM)","DanTysk",FALSE
121,"FARM",NA,"Atlantis","Atlantis (FARM)","Atlantis",FALSE
113,"FARM",NA,"Hohe See","Hohe See Windfarm (FARM)","Hohe See",FALSE
108,"FARM",NA,"BARD","BARD Windfarm (FARM)","BARD( (O|o)ffshore 1)|\bBARD\b",FALSE
104,"FARM",NA,"Alpha Ventus","FARM (FARM)","(A|a)lpha (V|v)entus",FALSE
100,"FARM",NA,"Butendiek","Butendiek Windfarm (FARM)","Butendiek",FALSE
99,"FARM",NA,"Humber Gateway","Humber Gateway Windfarm (FARM)","Humber Gateway",FALSE
92,"FARM",NA,"Deutsche Bucht","Deutsche Bucht Windfarm (FARM)","Deutsche Bucht",FALSE
90,"FARM",NA,"Duddon Sands","Duddon Sands Windfarm (FARM)","Duddon Sands",FALSE
85,"FARM",NA,"Lincs","Lincs Windfarm (FARM)","Lincs",FALSE
72,"FARM",NA,"Ormonde","Ormonde Windfarm (FARM)","Ormonde",FALSE
70,"FARM",NA,"Hywind Scotland","Hywind Scotland (FARM)","Hywind Scotland",FALSE
66,"FARM",NA,"Neart Na Gaoithe","Neart Na Gaoithe Windfarm (FARM)","Neart (N|n)a Gaoithe",FALSE
53,"FARM",NA,"Trianel Windpark Borkum","Trianel Windpark Borkum (FARM)","Trianel Windpark Borkum",FALSE
45,"FARM",NA,"Vesterhav Nord","Vesterhav Nord (FARM)","Vesterhav Nord",FALSE
44,"FARM",NA,"Nissum Bredning","Nissum Bredning Windfarm (FARM)","Nissum Bredning",FALSE
32,"FARM",NA,"SEM-REV","SEM-REV experimental test site (FARM)","SEM-REV( experimental)?( test)?( site)?( \(WTIV\))?|\bSEM\b",FALSE
30,"FARM",NA,"ICOL","Inch Cape Offshore Limited (FARM)","Inch Cape Offshore Limited( \(ICOL\))?|\bICOL\b",FALSE
22,"FARM",NA,"WFA","WindFloat Atlantic (FARM)","WindFloat Atlantic",FALSE
12,"FARM",NA,"Galloper","Galloper Windfarm (FARM)","Galloper Offshore Wind Farm",FALSE
327,"FINANCE",NA,"Carbon Trust","Carbon Trust (FINANCE)","Carbon Trust",FALSE
277,"FINANCE",NA,"Crown Estate","Crown Estate (FINANCE)","Crown Estate",FALSE
116,"FINANCE",NA,"EIB","European Investment Bank (FINANCE)","European Investment Bank|\bEIB\b",FALSE
116,"FINANCE",NA,"GIB","Green Investment Bank UK (FINANCE)","Green Investment Bank|\bGIB\b",FALSE
114,"FINANCE",NA,"Scottish Enterprise","Scottish Enterprise (FINANCE)","Scottish Enterprise",FALSE
79,"FINANCE",NA,"Balfour Beatty","Balfour Beatty Investments Ltd (FINANCE)","Balfour Beatty( Investments)?( Ltd)?",FALSE
76,"FINANCE",NA,"Vanguard","Vanguard Group Inc. (FINANCE)","Vanguard",FALSE
72,"FINANCE",NA,"STX","STX Group (FINANCE)","\bSTX( [A-Z][a-z]+){0,2}",FALSE
72,"FINANCE",NA,"Siemens Financial Services","Siemens Financial Services (FINANCE)","Siemens Financial Services?",FALSE
71,"FINANCE",NA,"Capital Partners","Capital Partner Companies (FINANCE)","Capital Partners",FALSE
68,"FINANCE",NA,"Finance","Finance Companies (FINANCE)","Finance",FALSE
31,"FINANCE",NA,"PKA","Denmark's pension fund PKA (FINANCE)","(Denmark's)?( (p|P)ension)?( (F|f)und)? PKA|PKA( P|p)ension|\bPKA\b",FALSE
30,"FINANCE",NA,"SDIC","SDIC Power of China (FINANCE)","SDIC (P|p)ower (o|O)f (C|c)hina|\bSDIC\b",FALSE
410,"GOV",NA,"DOE","Department of Energy (GOV)","Department of Energy|\bD(O|o)E\b",FALSE
398,"GOV",NA,"BOEM","Bureau of Ocean Energy Management (GOV)","Bureau of Ocean Energy Management(, Regulation and Enforcement)?|\bBOEM(RE)?\b",FALSE
343,"GOV",NA,"EIA","Environmental Impact Assessment (GOV)","(E|e)nvironmental( (I|i)mpact)? (A|a)ssessments?|\bE(I)?A\b",FALSE
246,"GOV",NA,"Ofgem","Ofgem (GOV)","Ofgem",FALSE
207,"GOV",NA,"EC","European Commission (GOV)","European Commission|\bEC\b",FALSE
130,"GOV",NA,"DECC","Department of Energy and Climate Change (GOV)","Department of Energy and Climate Change|\bDECC\b",FALSE
116,"GOV",NA,"HSE","Health Safety and Environment (GOV)","Health,? Safety,?( and)? Environment,?(al)?|\bHSEQ?\b",TRUE
99,"GOV",NA,"MOEA","Ministry of Economic Affairs (GOV)","(M|m)inistr(y|ies) (for|of) (E|e)conomic (A|a)ffairs|\bMOEA\b",FALSE
89,"GOV",NA,"BoP","Balance of Plant (GOV)","(B|b)alance of (P|p)lant|\bBoP\b",FALSE
86,"GOV",NA,"DEA","Danish Energy Agency (GOV)","Danish Energy Agency|\bDEA\b",FALSE
76,"GOV",NA,"Marine Scotland","Marine Scotland (GOV)","Marine Scotland",FALSE
72,"GOV",NA,"EEZ","Exclusive Economic Zone (GOV)","Exclusive Economic Zone|\bEEZ\b",FALSE
67,"GOV",NA,"BSH","Maritime and Hydrographic Agency German (GOV)","(Federal )?Maritime and Hydrographic Agency|\bBSH\b",FALSE
63,"GOV",NA,"MMO","Marine Management Organisation (GOV)","Marine Management Organi(s|z)ation|\bMMO\b",FALSE
55,"GOV",NA,"Planning Inspectorate","Planning Inspectorate UK (GOV)","Planning Inspectorate",FALSE
54,"GOV",NA,"STEM","Science Technology Engineering and Maths (GOV)","Science, Technology, Engineering and Maths|STEM( Ambassadors?| Centre)?",FALSE
53,"GOV",NA,"MCA","Maine Composites Alliance (GOV)","Maine Composites Alliance|\bMCA\b",FALSE
53,"GOV",NA,"BPU","Board of Public Utilities (GOV)","Board of Public Utilities|\bBPU\b",FALSE
49,"GOV",NA,"ERDF","European Regional Development Fund (GOV)","European Regional Development Fund|\bERDF\b",FALSE
44,"GOV",NA,"NOAA","National Oceanic and Atmospheric Administration (GOV)","National (Oceanic|Oceanographic) and Atmospheric Administration|\bNOAA\b",FALSE
40,"GOV",NA,"BNetzA","Federal Network Agency (GOV)","Federal Network Agency|\bBNetzA\b",FALSE
40,"GOV",NA,"BEIS","Dept. Business Energy and Industrial Strategy (GOV)","(Department of |Secretary of State for )Business, Energy and Industrial Strategy|\bBEIS\b",TRUE
38,"GOV",NA,"DCO","Development Consent Order (GOV)","(D|d)evelopment (C|c)onsent (O|o)rder|\bDCO\b",FALSE
36,"GOV",NA,"ADEME","French Environment and Energy Management Agency (GOV)","Fr(ench|ance's) Environment and Energy Management Agency|\bADEME\b",FALSE
36,"GOV",NA,"EMR","Electricity Market Reform (GOV)","(Energy|Electricity) Market Reform|\bEMR\b",TRUE
35,"GOV",NA,"SEAI","Sustainable Energy Authority of Ireland (GOV)","Sustainable Energy Authority of Ireland( \(SEAI\))?|\bSEAI\b",FALSE
29,"GOV",NA,"PWEP","Perth Wave Energy Project (GOV)","Perth Wave Energy Project|\bPWEP\b",FALSE
28,"GOV",NA,"BMWi","Ministry of Economics Affairs and Energy (GOV)","Federal Ministry (of|for) Economics?( Affairs)?( and Energy)?|\bBMWi\b",FALSE
27,"GOV",NA,"FEED","Front End Engineering Design (GOV)","(F|f)ront (E|e)nd (E|e)ngineering (D|d)esign|\bFEED\b",FALSE
21,"GOV",NA,"National Energy Agreement","National Energy Agreement (GOV)","National Energy Agreement",FALSE
728,"INST",NA,"ORE","Offshore Renewable Energy (INST)","Offshore Renewable Energy|\bORE\b",TRUE
357,"INST",NA,"ORE Catapult","Offshore Renewable Energy Catapult (INST)","(Offshore Renewable Energy|ORE) Catapult",FALSE
260,"INST",NA,"NAREC","National Renewable Energy Centre (INST)","National Renewable Energy Centre|\bNAREC\b",TRUE
230,"INST",NA,"EMEC","European Marine Energy Centre (INST)","European Marine Energy Cent(re|er)|\bEMEC\b",FALSE
189,"INST",NA,"EOWDC","European Offshore Wind Development Center (INST)","European Offshore Wind Deployment Centre|\bEOWDC\b",FALSE
182,"INST",NA,"EWEA","European Wind Energy Associatio (INST)","European Wind Energy Association|\bEWEA\b",FALSE
137,"INST",NA,"IWES","Institute for Wind Energy Systems (INST)","Institute for Wind Energy Systems|\bIWES\b",FALSE
135,"INST",NA,"ETI","Energy Technologies Institute (INST)","Energy Technologies Institute|\bETI\b",FALSE
132,"INST",NA,"ECN","Energy research center of the Netherlands (INST)","Energy (R|r)esearch Cent(re|er) of the Netherlands|Ecole Centrale( de) Nantes|\bECN\b",FALSE
128,"INST",NA,"GWO","Global Wind Organizarion (INST)","Global Wind Organistion|\bGWO\b",FALSE
127,"INST",NA,"FORCE","Fundy Ocean Research Center for Energy (INST)","Fundy Ocean Research Center for Energy|\bFORCE\b",FALSE
118,"INST",NA,"IEC","International Electrotechnical Commi(ttee|ssion) (INST)","International Electrotechnical Commi(ttee|ssion)|\bIEC\b",FALSE
97,"INST",NA,"NREL","National Renewable Energy Laboratory (INST)","National Renewable Energy Laboratory|\bNREL\b",FALSE
89,"INST",NA,"SCORE","Solent Offshore Renewable Energy Council (INST)","Solent Offshore Renewable Energy (Council|Consortium)|\bSCORE\b",FALSE
86,"INST",NA,"ABP","Associated British Ports (INST)","Associated British Ports?|\bABP\b",FALSE
84,"INST",NA,"IEA","International Energy Agency (INST)","International Energy Agency|\bIEA\b",FALSE
80,"INST",NA,"NYSERDA","New York State Energy Research and Development Authority (INST)","New York State Energy Research( and)? Development Authority|\bNYSERDA\b",FALSE
74,"INST",NA,"ISO","International Organization for Standardization (INST)","\bISO\b",FALSE
58,"INST",NA,"IRENA","International Renewable Energy Agency (INST)","International Renewable Energy Agency|\bIRENA\b",FALSE
57,"INST",NA,"HR Wallingford","HR Wallingford (INST)","HR Wallingford('s)?",FALSE
52,"INST",NA,"OWI","OWI Lab. (INST)","\bOWI(( |-)Lab)?\b",FALSE
46,"INST",NA,"HIE","Highlands and Islands Enterprise (INST)","Highlands and Islands Enterprise( \(HIE\))?|\bHIE\b",FALSE
46,"INST",NA,"LEP","Local Enterprise Partnership (INST)","Local Enterprise Partnership|\bLEP\b",FALSE
44,"INST",NA,"NEDO","New Energy and Industrial Technology Development Organisation (INST)","New Energy and Industrial Technology Development Organization|\bNEDO\b",FALSE
40,"INST",NA,"LORC","Lindo Offshore Renewables Center (INST)","Lindoe Offshore Renewables Center|\bLORC\b",FALSE
40,"INST",NA,"IMCA","International Marine Contractors Association (INST)","(I|i)nternational (M|m)arine (C|c)ontractors (A|a)ssociation|\bIMCA\b",FALSE
39,"INST",NA,"DHI","Danish Hydraulic Institute (INST)","\bDHI\b",FALSE
37,"INST",NA,"AWEA","American Wind Energy Association (INST)","American Wind Energy Association|\bAWEA\b",FALSE
37,"INST",NA,"MARIN","Maritime Research Institute Netherlands (INST)","Maritime Research Institute Netherlands|\bMARIN\b",FALSE
36,"INST",NA,"OERA","Offshore Energy Research Association (INST)","Offshore Energy Research Association|\bOERA\b",FALSE
34,"INST",NA,"PNNL","Pacific Northwest National Lab. (INST)","Pacific Northwest National Laboratory|\bPNNL\b",FALSE
33,"INST",NA,"WEA","Wind Energy Association (INST)","\b[^AEW]WEA\b|[BCDF-VX-Z][a-z]+ Wind Energy Association",FALSE
33,"INST",NA,"EPSRC","Engineering and Physical Sciences Research Council (INST)","Engineering (and|&) Physical Sciences Research Council|\bEPSRC\b",FALSE
30,"INST",NA,"IMO","International Maritime Organization (INST)","International Maritime Organization|\bIMO\b",FALSE
30,"INST",NA,"Pike","Pike Research (INST)","Pike Research",FALSE
28,"INST",NA,"Wave Energy Scotland","Wave Energy Scotland (INST)","Wave Energy Scotland",FALSE
28,"INST",NA,"NWA","The National Workboat Association (INST)","The National Workboat Association( \(NWA\))?|\bNWA\b",FALSE
25,"INST",NA,"Marine Institute","Marine Institute (INST)","Marine Institute",FALSE
25,"INST",NA,"Sandia","Sandia National Lab. (INST)","Sandia National Laboratories|\bSandia\b",FALSE
23,"INST",NA,"NERC","Natural Environment Research Council (INST)","Natural Environment Research Council|\bNERC\b",FALSE
21,"INST",NA,"Navigant","Navigant Research (INST)","Navigant Research",FALSE
20,"INST",NA,"Norstec Academy","Norstec Academy (INST)","Norstec Academy",FALSE
18,"INST",NA,"WWEA","World Wind Energy Association (INST)","World Wind Energy Association|\bWWEA\b",FALSE
16,"INST",NA,"DyNaLab","Dynamic Nacelle Testing Lab. (INST)","Dynamic Nacelle Testing Laboratory|\bDyNaLab\b",FALSE
15,"INST",NA,"GWEC","Global Wind Energy Council (INST)","Global Wind Energy Council|\bGWE\b",FALSE
10,"INST",NA,"GE.Global","GE Global Research (INST)","GE Global Research",FALSE
9,"INST",NA,"IDCORE","Industrial Doctorate Centre for ORE (INST)","Industrial (Doctora(l|te) Centre|CDT) (in|for) Offshore Renewable Energy|IDCORE",FALSE
9,"INST",NA,"ERI","Environmental Research Institute (INST)","Environmental Research Institute|\bERI\b",FALSE
13526,"KWORD",NA,"turbine","turbine (KWORD)","(T|t)urbine",FALSE
7048,"KWORD",NA,"system","system (KWORD)","(S|s)ystem",FALSE
6890,"KWORD",NA,"cable","cable (KWORD)","(C|c)able",FALSE
6194,"KWORD",NA,"installation","installation (KWORD)","(I|i)nstallation",FALSE
6135,"KWORD",NA,"technology","technology (KWORD)","(T|t)echnolog(y|ies)",FALSE
3847,"KWORD",NA,"grid","grid (KWORD)","(G|g)rid",FALSE
3689,"KWORD",NA,"foundation","foundation (KWORD)","(F|f)oundation",FALSE
1756,"KWORD",NA,"blade","blade (KWORD)","(B|b)lade",FALSE
1673,"KWORD",NA,"testing","testing (KWORD)","(T|t)esting",FALSE
1592,"KWORD",NA,"survey","survey (KWORD)","(S|s)urvey",FALSE
1465,"KWORD",NA,"training","training (KWORD)","(T|t)raining",FALSE
1226,"KWORD",NA,"O&M","O&M (KWORD)","O&M|(O|o)perations? (and|&) (M|m)aintenance",FALSE
1147,"KWORD",NA,"monitor","monitor (KWORD)","(M|m)onitor",FALSE
1049,"KWORD",NA,"jacket","jacket (KWORD)","(J|j)acket",FALSE
1042,"KWORD",NA,"monopile","monopile (KWORD)","monopile|Monopile|mono pile|Mono pile",FALSE
993,"KWORD",NA,"seabed","seabed (KWORD)","(S|s)ea( )?bed",FALSE
823,"KWORD",NA,"maritime","maritime (KWORD)","(M|m)aritime",FALSE
712,"KWORD",NA,"protection","protection (KWORD)","(P|p)rotection",FALSE
683,"KWORD",NA,"inspection","inspection (KWORD)","(I|i)nspection",FALSE
430,"KWORD",NA,"underwater","underwater (KWORD)","(U|u)nder( )?water",FALSE
402,"KWORD",NA,"ROV/AUV","remotely operated vehicle (KWORD)","((R|r)emotely (O|o)perated|(A|a)utonomous (U|u)nderwater) (V|v)ehicle|\b(ROV|AUV)\b",FALSE
129,"KWORD",NA,"corrosion","corrosion (KWORD)","(C|c)orrosion",FALSE
115,"KWORD",NA,"drone","drone (KWORD)","(D|d)rone",FALSE
100,"KWORD",NA,"sonar","sonar (KWORD)","(S|s)onar",FALSE
1702,"LOC",NA,"North Sea","North Sea (LOC)","North Sea",FALSE
574,"LOC",NA,"Baltic","Baltic Seas (LOC)","Baltic( Seas?)?",FALSE
339,"LOC",NA,"East Anglia","East Anglia (LOC)","East Anglia",TRUE
237,"LOC",NA,"New Jersey","New Jersey (LOC)","New Jersey",FALSE
226,"LOC",NA,"Rhode Island","Rhode Island (LOC)","Rhode Island",FALSE
205,"LOC",NA,"North America","North America (LOC)","North America",FALSE
160,"LOC",NA,"Nova Scotia","Nova Scotia (LOC)","Nova Scotia",FALSE
122,"LOC",NA,"Island of Borkum","Island of Borkum (LOC)","Island of Borkum",TRUE
102,"LOC",NA,"California","California (LOC)","California",FALSE
98,"LOC",NA,"Isle of Wight","Isle of Wight (LOC)","Isle of Wight",TRUE
91,"LOC",NA,"Port of Esbjerg","Port of Esbjerg (LOC)","Port of Esbjerg",FALSE
73,"LOC",NA,"Asia Pacific","Asia Pacific (LOC)","Asia Pacific",TRUE
32,"LOC",NA,"COSCO Nantong Shipyard","COSCO Nantong Shipyard (LOC)","COSCO( \(?Nan(t|T)ong\)?)?( (S|s)hipyard)?( \(COSCO\))?|\bCOSCO\b""",FALSE
32,"LOC",NA,"REBO","Renewable Energy Base Oostende (LOC)","Renewable Energy Base Oostende( \(REBO\))?|\bREBO\b",FALSE
30,"LOC",NA,"North Norfolk","North Norfolk cosat (LOC)","North Norfolk( coast)",FALSE
26,"LOC",NA,"BOW Terminal","BOW Terminal (LOC)","BOW Terminal('s)?",FALSE
2984,"ORG","Turbine","SGRE","Siemens Gamesa (ORG:Turbine)","Siemens Gamesa( Renewable Energy)?|Siemens Wind Power( Service)?|Siemens(?!=( AG| Industry| Financial))|\bSGRE\b",FALSE
2052,"ORG","Developer","Orsted","Orsted/Dong (ORG:Developer)","DONG Energy Wind Power|Dong Energy|\b(.rsted|DONG|Dong)\b",FALSE
943,"ORG","Others","TenneT","TenneT TSO GmbH (ORG:Others)","TenneT",FALSE
883,"ORG","Turbine","MHI","MHI Vestas (ORG:Turbine)","MHI( |-)Vestas|\bMHI\b",FALSE
569,"ORG","Others","ABB","ABB Group (ORG:Others)","ABB Group|ABB Power Systems|\bABB\b",FALSE
547,"ORG","Developer","E.ON","E.ON SE (ORG:Developer)","E\.ON SE|E\.ON",FALSE
512,"ORG","Services","DNV-GL","DNV-GL Management Service (ORG:Services)","DNV( |-)GL|GL Garrad Hassan",FALSE
473,"ORG","Turbine","GE","General Electric (ORG:Turbine)","GE Renewable Energy|(G|g)eneral (E|e)lectric|\bGE\b",FALSE
473,"ORG","Engineering","Boskalis","Royal Boskalis Westminister N.V. (ORG:Engineering)","(VolkerWessels |Royal )?Boskalis( Marine Solutions| Westminster( NV| N\.V\.)?)?|\bV(B|S)MS\b",FALSE
459,"ORG","Engineering","Van Oord","Van Oord (ORG:Engineering)","(V|v)an Oord",FALSE
409,"ORG","PowerCo","RWE","RWE Innogy UK (ORG:PowerCo)","RWE Innogy|RWE International SE|RWE Innogy UK|\bRWE\b",FALSE
384,"ORG","NEW","Damen","Damen (ORG:NEW)","Damen",FALSE
355,"ORG","Developer","Adwen/Areva","Adwen / Areva Wind GmbH (ORG:Developer)","A(reva|dwen)( Wind)?( GmbH)?",TRUE
335,"ORG","Developer","SSE","Scottish & Southern Energy (ORG:Developer)","Scottish( &| and)? Southern (Energy|Electric)|\bSSE\b",FALSE
309,"ORG","PowerCo","National Grid","National Grid plc. (ORG:PowerCo)","National Grid",FALSE
301,"ORG","NEW","Nexans","Nexans (ORG:NEW)","Nexans",FALSE
293,"ORG","NEW","A2SEA","A2SEA (ORG:NEW)","A2SEA",FALSE
276,"ORG","PowerCo","EDF","EDF Energy Renewables (ORG:PowerCo)","EDF(-| )EN|EDF( Energ(y|ies))?( Renewables)?",FALSE
268,"ORG","Engineering","DEME","DEME Group (ORG:Engineering)","\bDEME( Group)?\b",FALSE
264,"ORG","NEW","CWind","CWind (ORG:NEW)","CWind",FALSE
246,"ORG","Engineering","Jan De Nul","Jan De Nul Group (ORG:Engineering)","jan de nul( group)?",TRUE
245,"ORG","Cable","JDR","JDR Cable Systems (ORG:Cable)","JDR Cable Systems|\bJDR\b",FALSE
241,"ORG","NEW","Senvion","Senvion (ORG:NEW)","Senvion",FALSE
232,"ORG","Consultant","EWE","EWE AG (ORG:Consultant)","\bEWE( AG\.?)?",FALSE
225,"ORG","Developer","SPR","ScottishPower Renewables (ORG:Developer)","Scottish ?Power Renewables|\bSPR\b",FALSE
217,"ORG","Engineering","GMS(L)","Global Marine Group (ORG:Engineering)","Global Marine( [A-Z][a-z]+)*|\bGMSL?\b",FALSE
212,"ORG","Engineering","SHL","Seaway Heavy Lifting (ORG:Engineering)","Seaway Heavy Lifting|\bSHL\b",FALSE
209,"ORG","Engineering","Olsen Windcarrier","Olsen Windcarrier (ORG:Engineering)","Olsen Windcarrier",FALSE
175,"ORG","Training","Maersk","Maersk Group (ORG:Training)","Maersk(?! Connector)",FALSE
174,"ORG","NEW","Eneco","Eneco (ORG:NEW)","Eneco",FALSE
173,"ORG","Developer","CIP","Copenhagen Infrastructure Partners (ORG:Developer)","(Copenhagen )?Infrastructure Partners|\bCIP\b",FALSE
171,"ORG","Others","Carnegie","Carnegie (ORG:Others)","Carnegie",FALSE
149,"ORG","NEW","Elia","Elia (ORG:NEW)","Elia",FALSE
142,"ORG","Cable","NKT","NKT (Holding) A/S (ORG:Cable)","\bNKT\b",FALSE
141,"ORG","Engineering","SOC","Siem Offshore Contractors GmbH (ORG:Engineering)","Siem Offshore( Contractors( GmbH )?)?|Seaway Offshore Cables|\bSOC\b",FALSE
140,"ORG","NEW","Forewind","Forewind (ORG:NEW)","Forewind",FALSE
136,"ORG","Developer","RES","RES Group (ORG:Developer)","RES Offshore|\bRES\b",FALSE
136,"ORG","NEW","Tekmar","Tekmar (ORG:NEW)","Tekmar",FALSE
131,"ORG","NEW","DeepOcean","DeepOcean (ORG:NEW)","DeepOcean",FALSE
127,"ORG","Others","OPT","Ocean Power Technologies (ORG:Others)","Ocean Power Technologies|\bOPT\b",FALSE
124,"ORG","Engineering","IHC","Royal IHC (ORG:Engineering)","Royal IHC|\bIHC\b",FALSE
121,"ORG","NEW","Heerema","Heerema (ORG:NEW)","Heerema",FALSE
120,"ORG","Engineering","Seacat Services","Seacat Services (ORG:Engineering)","Seacat Services",FALSE
116,"ORG","Services","EMO","EMS Maritime Offshore GmbH (ORG:Services)","EMS Maritime Offshore GmbH|EMS Maritime Offshore|\bEMO\b",FALSE
116,"ORG","Developer","EDP","EDP Renewable (ORG:Developer)","EDP Ren\S+|\bEDPR?\b",FALSE
115,"ORG","NEW","Ampelmann","Ampelmann (ORG:NEW)","Ampelmann",FALSE
109,"ORG","Developer","Vineyard Wind","Vineyard Wind LLC (ORG:Developer)","Vineyard Wind( LLC)?",FALSE
108,"ORG","Blade","LM Wind Power","LM Wind Power (ORG:Blade)","LM Wind Power",FALSE
108,"ORG","Developer","Shell","Shell Group (ORG:Developer)","Shell",FALSE
107,"ORG","Consultant","BMT","BMT Group (ORG:Consultant)","BMT Group|\bBMT\b",FALSE
107,"ORG","NEW","REpower","REpower (ORG:NEW)","REpower",FALSE
105,"ORG","NEW","SeaPlanner","SeaPlanner (ORG:NEW)","SeaPlanner",FALSE
103,"ORG","Engineering","OMM","Offshore Marine Management (ORG:Engineering)","Offshore Marine Management|\bOMM\b",FALSE
102,"ORG","Equipment","Pelamis","Pelamis Wave Power (ORG:Equipment)","Pelamis( Wave Power)?",FALSE
95,"ORG","Engineering","WINDEA","WINDEA OFFSHORE (ORG:Engineering)","W(INDEA|indea) ((O|o)ffshore)?|\bWINDEA\b",FALSE
